"testUrl","PerformanceScore","TTFB","labFCP","labLCP","labCLS","TTI","speedIndex","TBT","labMaxFID","pageSize","date","device"
"https://www.99acres.com/property-in-noida-ffid?test=mytest","0.765","1471.5059999999999","740","1589","0.009","2350","1731.5","310.5","187","1.797","2022-02-11 09:35",
"https://www.99acres.com/property-in-sector-150-noida-ffid?test=mytest","0.79","1053.0325","740","1504.5","0.006","2335.5","1566.5","325.5","191","1.528","2022-02-11 09:35",
"https://www.99acres.com/residential-apartments-in-paldi-ahmedabad-west-ffid?test=mytest","0.85","1197.0955","700","1131.5","0.004","2164","1571","207","168","1.4295","2022-02-11 09:35",
"https://www.99acres.com/property-for-rent-in-noida-ffid?test=mytest","0.8","1528.603","740","1554.5","0.034999999999999996","2292.5","1748.5","289","164.5","1.6804999999999999","2022-02-11 09:35",
"https://www.99acres.com/property-for-rent-in-sector-150-noida-ffid?test=mytest","0.77","1349.227","754","1696.5","0.069","2368.5","1934","273.5","178","1.6509999999999998","2022-02-11 09:35",
"https://www.99acres.com/2-bhk-flats-for-rent-in-bhopal-ffid?test=mytest","0.89","1150.1595000000002","712","1457","0.004","2073","1338.5","200","166.5","1.3775","2022-02-11 09:35",
"https://www.99acres.com/rent-paying-guest-pg-in-noida-ffid?test=mytest","0.83","1148.3415","706","1423","0.0045000000000000005","2166","1366","251","173","1.3719999999999999","2022-02-11 09:35",
"https://www.99acres.com/rent-paying-guest-pg-in-sector-150-noida-ffid?test=mytest","0.89","811.897","660","1581.5","0","2029","1247.5","177.5","183","1.432","2022-02-11 09:35",
"https://www.99acres.com/commercial-property-in-noida-ffid?test=mytest","0.81","1219.49","730","1748","0.009","2282.5","1911.5","195","163.5","1.843","2022-02-11 09:35",
"https://www.99acres.com/commercial-property-in-sector-150-noida-ffid?test=mytest","0.84","1031.869","719.5","1739.5","0","2176.5","1446","191","175","1.567","2022-02-11 09:35",
"https://www.99acres.com/factory-land-in-noida-ffid?test=mytest","0.815","1083.94","720","1801.5","0.0095","2243","1775","193.5","166","1.6575","2022-02-11 09:35",
"https://www.99acres.com/commercial-property-for-rent-in-noida-ffid?test=mytest","0.85","1089.205","700","1698","0.007","2251","1749","206","156.5","1.7080000000000002","2022-02-11 09:35",
"https://www.99acres.com/commercial-property-for-rent-in-sector-150-noida-ffid?test=mytest","0.87","772.0925","660","1780","0","2163.5","1151.5","175.5","182.5","1.8570000000000002","2022-02-11 09:35",
"https://www.99acres.com/rent-coworking-space-in-india-ffid?test=mytest","0.875","805.2895","660","1444","0","2015.5","1177.5","222.5","171","1.2755","2022-02-11 09:35",
"https://www.99acres.com/ready-to-move-office-space-for-rent-in-noida-ffid?test=mytest","0.835","1406.8595","685.5","1553.5","0.006","2246.5","1714.5","250","164","1.55","2022-02-11 09:35",
