"test url","fcp","fid","lcp","cls","date","device"
"https://www.99acres.com/property-in-noida-ffid","1795","35","1803","0.03","2022-02-11 09:13",
"https://www.99acres.com/property-in-sector-150-noida-ffid","1874","36","1882","0.03","2022-02-11 09:13",
"https://www.99acres.com/residential-apartments-in-paldi-ahmedabad-west-ffid","2359","45","2359","0.05","2022-02-11 09:13",
"https://www.99acres.com/property-for-rent-in-noida-ffid","1826","22","1842","0.01","2022-02-11 09:13",
"https://www.99acres.com/2-bhk-flats-for-rent-in-bhopal-ffid","1482","no data","1521","0.01","2022-02-11 09:13",
"https://www.99acres.com/rent-paying-guest-pg-in-noida-ffid","1858","18","1865","0.01","2022-02-11 09:13",
"https://www.99acres.com/commercial-property-in-noida-ffid","1968","27","1981","0.05","2022-02-11 09:13",
"https://www.99acres.com/commercial-property-for-rent-in-noida-ffid","2121","17","2131","0","2022-02-11 09:13",
"https://www.99acres.com/property-in-noida-ffid","1795","35","1803","0.03","2022-02-11 09:13",
"https://www.99acres.com/property-in-sector-150-noida-ffid","1874","36","1882","0.03","2022-02-11 09:13",
"https://www.99acres.com","1675","24","1829","0.07","2022-02-11 09:13",
"https://www.99acres.com/property-in-noida-ffid","1795","35","1803","0.03","2022-02-11 12:11",
"https://www.99acres.com/property-in-sector-150-noida-ffid","1874","36","1882","0.03","2022-02-11 12:11",
"https://www.99acres.com/residential-apartments-in-paldi-ahmedabad-west-ffid","2359","45","2359","0.05","2022-02-11 12:11",
"https://www.99acres.com/property-for-rent-in-noida-ffid","1826","22","1842","0.01","2022-02-11 12:11",
"https://www.99acres.com/2-bhk-flats-for-rent-in-bhopal-ffid","1482","no data","1521","0.01","2022-02-11 12:11",
"https://www.99acres.com/rent-paying-guest-pg-in-noida-ffid","1858","18","1865","0.01","2022-02-11 12:11",
"https://www.99acres.com/commercial-property-in-noida-ffid","1968","27","1981","0.05","2022-02-11 12:11",
"https://www.99acres.com/commercial-property-for-rent-in-noida-ffid","2121","17","2131","0","2022-02-11 12:11",
"https://www.99acres.com/property-in-noida-ffid","1795","35","1803","0.03","2022-02-11 12:11",
"https://www.99acres.com/property-in-sector-150-noida-ffid","1874","36","1882","0.03","2022-02-11 12:11",
"https://www.99acres.com","1675","24","1829","0.07","2022-02-11 12:11",
"https://www.99acres.com/property-in-noida-ffid","1801","36","1809","0.03","2022-02-11 15:20","mobile"
"https://www.99acres.com/property-in-sector-150-noida-ffid","1836","33","1841","0.03","2022-02-11 15:20","mobile"
"https://www.99acres.com/residential-apartments-in-paldi-ahmedabad-west-ffid","2307","39","2314","0.05","2022-02-11 15:20","mobile"
"https://www.99acres.com/property-for-rent-in-noida-ffid","1829","22","1850","0.01","2022-02-11 15:20","mobile"
"https://www.99acres.com/2-bhk-flats-for-rent-in-bhopal-ffid","1491","no data","1579","0.01","2022-02-11 15:20","mobile"
"https://www.99acres.com/rent-paying-guest-pg-in-noida-ffid","1851","18","1856","0.01","2022-02-11 15:20","mobile"
"https://www.99acres.com/commercial-property-in-noida-ffid","1968","29","1993","0.05","2022-02-11 15:20","mobile"
"https://www.99acres.com/commercial-property-for-rent-in-noida-ffid","2102","18","2128","0","2022-02-11 15:20","mobile"
"https://www.99acres.com/mahagun-moderne-rent-in-sector-78-noida-5512-rnpffid","1439","no data","1527","0.01","2022-02-11 15:20","mobile"
"https://www.99acres.com/property-in-noida-ffid","1801","36","1809","0.03","2022-02-11 15:20","mobile"
"https://www.99acres.com/property-in-sector-150-noida-ffid","1836","33","1841","0.03","2022-02-11 15:20","mobile"
"https://www.99acres.com/property-in-noida-ffid","1801","36","1809","0.03","2022-02-11 18:02","mobile"
"https://www.99acres.com/property-in-sector-150-noida-ffid","1836","33","1841","0.03","2022-02-11 18:02","mobile"
"https://www.99acres.com/residential-apartments-in-paldi-ahmedabad-west-ffid","2307","39","2314","0.05","2022-02-11 18:02","mobile"
"https://www.99acres.com/property-for-rent-in-noida-ffid","1829","22","1850","0.01","2022-02-11 18:02","mobile"
"https://www.99acres.com/2-bhk-flats-for-rent-in-bhopal-ffid","1491","no data","1579","0.01","2022-02-11 18:02","mobile"
